Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk▼,Comb,Solo,Ast,TFL,QBHits,Sfty
Brent Urban,BAL,32,DE,17,3,0.00,0.00,0.00,0,0.12,0.00,0.00,1,0,0,0.18,1.29,0.94,0.35,0.29,0.35,
Johnathan Hankins,DAL,31,DT,14,14,0.00,0.00,0.00,0,0.14,,,,,0,0.21,1.93,0.93,1.00,0.14,0.21,
Dalvin Tomlinson,CLE,29,DT,16,16,,,0.00,,,,,,,0,0.19,1.75,0.75,1.00,0.25,0.75,
Brandon Graham,PHI,35,DE,17,0,0.00,0.00,0.00,0,0.06,,,,,0,0.18,0.94,0.65,0.29,0.24,0.35,
Myles Murphy,CIN,21,DE,17,0,,,0.00,,,,,,,0,0.18,1.18,0.59,0.59,0.18,0.18,
Will McDonald,NYJ,24,DL,15,0,,,0.00,,,0.07,0.00,1,0,0,0.20,0.93,0.60,0.33,0.27,0.33,
Josh Uche,NWE,25,LB,15,2,,,0.00,,,,,,,0,0.20,1.00,0.53,0.47,0.20,0.40,
Drake Jackson,SFO,22,DL,8,0,0.00,0.00,0.00,0,0.13,,,,,0,0.38,0.88,0.50,0.38,0.25,0.38,
Foyesade Oluokun,JAX,28,LB,17,17,0.06,1.41,0.06,24,0.35,0.06,0.00,3,0,0,0.15,10.2,6.53,3.65,0.47,0.59,
Bobby Okereke,NYG,27,LB,17,17,0.12,3.65,0.00,55,0.59,0.24,0.00,0,0,0,0.15,8.76,5.41,3.35,0.65,0.35,
